date,TWTR,COTY,PG,MU,ORCL,WMT,SBUX,KEY,GM,NLSN,CVS,V,ABT,CTL,HPE,AAPL,QCOM,KO,NVDA,DAL,T,NFLX,MDT,AAL,CELG,SLB,M,CMCSA,NEM,MDLZ,AXP,APC,CVX,VZ,AMD,FB,PFE,AMAT,BMY,FISV,F,EA,WBA,CNC,HAL,TGT,FE,FCX,SYMC,DIS,INTC,EXC,HES,KMI,BAC,TJX,MS,MO,JPM,BK,CAG,GE,WFC,BA,LOW,XOM,ATVI,BHGE,HBAN,EBAY,MSFT,FITB,DVN,WDC,MRK,RF,SCHW,WU,MPC,COG,C,MRO,CSCO,KHC,HPQ,COP,LUV,PYPL,EOG,news
2018-06-01,36.65,13.11,73.45,58.74,47.35,82.99,56.91,19.75,43.2,29.83,64.07,130.85,62.41,17.74,15.53,190.24,58.61,43.12,257.62,54.42,32.47,359.93,87.83,44.0,79.04,68.96,35.56,31.26,38.64,39.56,98.25,71.05,123.85,47.81,14.4,193.99,36.25,52.24,53.13,73.33,11.71,135.69,62.86,58.79,49.08,72.8,34.2,17.12,21.02,99.36,57.08,40.99,61.8,16.9,29.4,45.21,51.21,55.72,108.4,55.35,36.94,14.1,54.69,356.72,95.83,81.83,73.03,34.93,15.19,38.34,100.79,30.76,41.4,85.87,60.56,18.59,56.73,20.06,81.92,23.03,67.28,21.52,43.66,57.65,22.68,68.29,50.96,83.25,118.35,"{'JPM': 1, 'AAPL': 0, 'BAC': 0}"
2018-06-04,37.88,13.41,74.18,59.1,47.32,85.42,57.07,19.9,43.78,29.99,64.1,133.07,63.02,17.64,15.54,191.83,58.71,43.49,264.85,55.19,32.41,361.81,87.52,44.86,78.65,69.07,37.1,31.29,38.25,39.78,99.45,69.34,122.26,47.82,14.85,193.28,36.45,52.29,51.45,74.26,11.74,134.66,63.3,59.13,47.95,76.35,33.82,17.21,21.15,100.24,56.83,40.54,60.83,16.94,29.4,46.48,51.55,56.02,108.45,55.77,37.58,13.71,54.83,360.73,97.59,80.97,72.79,32.67,15.27,39.07,101.67,31.0,40.09,84.85,62.02,18.73,56.86,20.36,81.93,22.45,67.34,21.08,43.58,58.42,22.74,67.9,51.65,84.57,118.67,"{'AAPL': 1, 'MSFT': 1, 'BK': 0, 'MRK': 0}"
2018-06-05,39.8,13.2,73.97,59.41,47.13,84.62,55.68,19.89,43.41,30.0,63.33,133.56,63.03,17.43,16.06,193.31,58.98,43.11,265.07,54.67,32.68,365.8,86.66,44.18,77.97,68.46,40.05,31.08,38.55,39.26,99.31,69.23,122.73,47.97,14.85,192.94,36.44,52.91,51.92,74.68,11.83,136.96,62.89,59.01,47.87,78.5,33.94,17.65,21.34,99.94,56.53,40.43,61.08,16.84,29.12,47.02,50.78,56.33,107.84,55.59,37.37,13.8,54.5,360.1,97.5,80.68,72.77,33.61,15.28,40.04,102.19,30.97,39.32,85.9,61.39,18.63,56.3,20.62,80.33,22.57,66.76,20.58,43.67,57.92,23.42,67.56,50.9,85.05,116.58,"{'MSFT': 2, 'TWTR': 1, 'NFLX': 1, 'AAPL': 3, 'SBUX': 1, 'BAC': 0, 'JPM': 0, 'MS': 0, 'FB': 0}"
2018-06-06,40.1,13.23,74.35,59.42,47.75,84.56,57.17,20.43,43.93,30.76,65.08,136.28,63.54,17.59,16.02,193.98,59.84,43.46,265.15,54.17,33.38,367.45,87.24,44.19,78.79,68.89,40.1,32.27,38.66,39.49,100.97,69.45,123.38,48.41,15.67,191.34,36.38,52.53,52.92,76.06,11.97,136.94,63.15,59.49,48.3,77.9,33.17,18.2,21.54,101.91,57.03,39.71,61.57,16.72,30.04,47.15,51.91,56.31,110.36,56.57,37.05,13.64,55.58,371.56,98.49,82.06,74.79,34.64,15.59,39.95,102.49,31.65,41.51,84.72,61.93,19.25,57.95,20.95,78.76,23.0,68.23,20.7,44.26,57.92,23.51,67.88,50.75,85.21,116.14,"{'FB': 0, 'AAPL': 1, 'INTC': 1}"
2018-06-07,39.7,13.41,75.76,59.63,47.68,84.95,57.14,20.43,44.01,30.95,65.02,133.84,63.18,17.62,15.92,193.46,60.64,43.44,262.9,53.46,33.81,361.4,86.63,43.84,78.79,69.6,40.21,32.0,38.58,39.32,101.48,71.65,126.96,49.01,14.89,188.18,36.49,51.25,52.62,75.07,12.03,136.91,63.6,59.59,48.93,78.35,33.34,17.93,21.3,102.47,55.88,40.14,62.33,17.06,30.09,47.25,52.14,56.69,110.8,57.65,37.18,13.78,55.63,368.53,99.27,82.88,73.95,34.69,15.56,40.45,100.88,31.62,41.95,82.6,61.99,19.06,57.34,20.78,79.15,23.39,68.45,21.1,43.65,57.67,23.55,69.48,50.64,83.27,117.93,"{'BAC': 0, 'GM': 0, 'JPM': 0}"
2018-06-08,41.21,13.89,77.18,61.39,48.18,84.36,56.6,20.54,44.25,31.24,66.03,134.74,63.27,17.65,16.01,191.7,60.26,43.95,262.28,54.09,33.83,360.57,87.18,43.11,79.06,69.43,39.88,32.08,38.38,39.78,101.0,71.4,126.44,49.18,15.25,189.1,36.67,51.15,53.16,75.47,12.1,137.87,63.4,59.91,48.1,78.02,33.32,18.03,21.32,103.98,55.05,40.0,61.84,16.85,30.01,47.47,51.91,57.71,111.11,57.56,37.74,13.93,55.68,369.5,100.22,83.6,74.29,34.7,15.69,40.29,101.63,31.81,42.16,82.62,62.58,19.11,57.73,20.81,78.99,23.54,68.47,20.99,43.48,58.47,23.71,69.43,50.48,84.34,117.67,"{'AAPL': 0, 'INTC': 0}"
2018-06-11,41.42,14.1,77.53,61.39,48.19,84.3,56.48,20.56,44.85,31.31,66.94,133.91,63.13,17.85,16.02,191.23,59.93,44.13,260.62,54.89,34.18,361.45,86.59,44.16,78.33,69.87,39.75,32.0,38.57,40.23,101.2,71.68,127.56,49.3,15.73,191.54,36.3,49.89,53.12,75.13,12.03,139.16,64.06,60.97,47.86,79.06,32.97,18.19,21.2,104.35,54.52,39.93,61.8,17.15,30.06,47.51,51.78,58.25,110.83,57.7,37.66,13.98,55.51,370.94,100.5,83.1,75.0,34.15,15.56,40.49,101.05,31.42,42.27,83.0,62.33,18.87,57.41,20.89,77.77,23.54,68.11,21.47,43.69,59.88,24.01,70.49,50.98,83.89,118.01,"{'T': 0, 'FB': 0, 'CVX': 1, 'XOM': 1, 'TWTR': 0}"
2018-06-12,43.49,14.23,77.24,60.55,48.45,84.1,56.48,20.64,44.18,31.46,66.35,134.86,62.92,17.95,15.79,192.28,59.79,44.41,262.58,54.55,34.35,363.83,86.69,43.41,77.47,68.6,39.97,32.38,38.79,40.43,100.73,71.35,127.08,48.81,15.85,192.4,36.3,50.86,53.13,75.85,12.11,139.78,63.7,61.86,47.86,79.07,33.32,17.86,21.43,104.33,54.82,40.49,60.47,16.93,29.9,47.71,51.32,57.88,110.19,57.67,37.7,13.98,55.38,370.62,100.5,82.42,75.94,34.54,15.59,40.45,101.31,31.28,41.93,82.12,62.44,18.95,57.31,21.1,75.46,23.59,67.61,21.36,43.94,60.12,23.62,69.43,50.97,85.02,118.47,"{'JPM': 1, 'BK': 0, 'T': 1}"
2018-06-13,44.07,14.0,76.47,60.05,48.27,84.09,56.21,20.67,44.45,31.53,68.41,134.4,62.63,17.54,15.79,190.7,59.22,44.18,262.4,54.65,32.22,379.93,85.84,42.92,77.38,67.97,38.37,32.32,38.7,40.14,100.02,71.28,127.07,47.4,16.32,192.41,36.22,50.98,53.46,75.85,12.02,143.28,63.91,62.34,47.67,78.02,33.63,17.81,21.28,106.31,55.03,40.52,60.49,16.74,29.84,47.37,51.6,57.43,109.97,57.32,37.95,13.89,55.16,363.85,99.46,81.51,76.67,34.06,15.55,39.33,100.85,31.15,42.59,82.86,62.59,18.89,57.36,20.97,74.88,23.85,67.29,21.47,44.01,60.1,23.54,69.62,51.35,85.27,118.25,"{'TWTR': 0, 'T': 2, 'NFLX': 0}"
2018-06-14,46.76,14.26,75.99,59.18,45.9,83.79,57.02,20.53,43.57,31.53,69.12,135.0,62.96,18.01,15.82,190.8,59.46,43.58,266.91,54.9,32.52,392.87,86.57,43.08,78.39,68.33,37.56,33.82,39.16,40.4,99.76,71.04,126.51,47.82,16.25,196.81,36.16,49.69,53.63,76.43,11.89,144.39,64.87,61.75,47.73,77.22,34.27,17.58,21.36,108.75,55.54,41.07,60.97,16.95,29.5,47.28,51.31,56.7,108.03,56.8,38.2,13.64,54.74,362.42,99.16,81.89,77.71,33.68,15.42,39.0,101.42,30.84,41.71,82.55,61.56,18.62,56.61,20.66,75.19,23.61,66.16,21.12,44.69,60.67,23.8,68.13,51.94,85.61,117.53,"{'ORCL': 1, 'TWTR': -1, 'AAPL': 1}"
