Abbott Laboratories,ABT,,,,
Advanced Micro Devices Inc.,AMD,,,,
Altria Group Inc,MO,,,,
American Airlines Group Inc.,AAL,,,,
American Express Company,AXP,american_express,amex,,
Anadarko Petroleum Corporation,APC,,,,
Apple Inc.,AAPL,apple,,,apple_inc
Applied Materials Inc.,AMAT,,,,
AT&T Inc.,T,att,,,
Baker Hughes a GE Company Class A,BHGE,,,,
Bank of America Corp,BAC,bank_of_america,,baml,bank_of_america_merrill_lynch
Bank of New York Mellon Corporation,BK,bny_mellon_adr,,,
Bristol-Myers Squibb Company,BMY,,,,
Cabot Oil & Gas Corporation,COG,,,,
Celgene Corporation,CELG,,,,
Centene Corporation,CNC,,,,
CenturyLink Inc.,CTL,,,,
Charles Schwab Corporation,SCHW,,,,
Chevron Corporation,CVX,chevron,,,
Cisco Systems Inc.,CSCO,cisco,,,
Citigroup Inc.,C,citigroup,,,citi
Coca-Cola Company,KO,,,,
Comcast Corporation Class A,CMCSA,,,,
Conagra Brands Inc.,CAG,,,,
ConocoPhillips,COP,,,,
Coty Inc. Class A,COTY,,,,
CVS Health Corporation,CVS,,,,
Delta Air Lines Inc.,DAL,,,,
Devon Energy Corporation,DVN,,,,
eBay Inc.,EBAY,,,,
Electronic Arts Inc.,EA,,,,
EOG Resources Inc.,EOG,,,,
Exelon Corporation,EXC,,,,
Exxon Mobil Corporation,XOM,exxon,,exxon_mobil,
Facebook Inc. Class A,FB,facebook,facebooks,zuckerberg,instagram
Fifth Third Bancorp,FITB,,,,
FirstEnergy Corp.,FE,,,,
Fiserv Inc.,FISV,,,,
Ford Motor Company,F,ford,,,
Freeport-McMoRan Inc.,FCX,,,,
General Electric Company,GE,ge,,,general_electric
General Motors Company,GM,general_motors,gm,,
Halliburton Company,HAL,,,,
Hess Corporation,HES,,,,
Hewlett Packard Enterprise Co.,HPE,,,,
HP Inc.,HPQ,hewlett_packard,,,
Huntington Bancshares Incorporated,HBAN,,,,
Intel Corporation,INTC,intel,intel_corp,,
JPMorgan Chase & Co.,JPM,jpmorgan,jpmorgan_chase__co,jpmorgan_chase,jp_morgan
KeyCorp,KEY,,,,
Kinder Morgan Inc Class P,KMI,,,,
Lowe's Companies Inc.,LOW,,,,
Macy's Inc,M,,,,
Marathon Oil Corporation,MRO,,,,
Marathon Petroleum Corporation,MPC,,,,
Medtronic Plc,MDT,,,,
Merck & Co. Inc.,MRK,merck,,,
Micron Technology Inc.,MU,,,,
Microsoft Corporation,MSFT,microsoft,,,
Mondelez International Inc. Class A,MDLZ,,,,
Morgan Stanley,MS,morgan_stanley,,,ms
Netflix Inc.,NFLX,netflix,,,
Newmont Goldcorp Corporation,NEM,,,,
Nielsen Holdings Plc,NLSN,,,,
NVIDIA Corporation,NVDA,nvidia,,,
Oracle Corporation,ORCL,oracle,,,
PayPal Holdings Inc,PYPL,,,,
Pfizer Inc.,PFE,pfizer,,,
Procter & Gamble Company,PG,pg,,,
QUALCOMM Incorporated,QCOM,,,,
Regions Financial Corporation,RF,,,,
Schlumberger NV,SLB,,,,
Southwest Airlines Co.,LUV,,,,
Starbucks Corporation,SBUX,starbucks,,,
Symantec Corporation,SYMC,,,,
Target Corporation,TGT,,,,
TJX Companies Inc,TJX,,,,
Twitter Inc.,TWTR,twitter,,,
Boeing Company,BA,,,,
Kraft Heinz Company,KHC,,,,
Verizon Communications Inc.,VZ,verizon,,,
Visa Inc. Class A,V,visa,,,
Walgreens Boots Alliance Inc,WBA,walgreens,,,
Walmart Inc.,WMT,walmart,,,
Walt Disney Company,DIS,,,,
Wells Fargo & Company,WFC,wells_fargo,wells_fargo__co,wells_fargo_investment_institute,wells_fargos
Western Digital Corporation,WDC,,,,
Western Union Company,WU,,,,
