,companyName,securityName,website,name,nickname
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",agilent,Agilent Technologies,Agilent
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc.",aa,American Airlines Group,American Airlines
AAP,"Advance Auto Parts, Inc.","Advance Auto Parts, Inc.",advanceautoparts,Advance Auto Parts,Advance
AAPL,"Apple, Inc.",Apple Inc.,apple,Apple,Apple
ABBV,"AbbVie, Inc.","AbbVie, Inc.",abbvie,AbbVie,AbbVie
ABC,AmerisourceBergen Corp.,AmerisourceBergen Corporation,amerisourcebergen,AmerisourceBergen,AmerisourceBergen
ABMD,"ABIOMED, Inc.","ABIOMED, Inc.",abiomed,ABIOMED,ABIOMED
ABT,Abbott Laboratories,Abbott Laboratories,abbott,Abbott Laboratories,Abbott
ACN,Accenture Plc,Accenture Plc Class A,accenture,Accenture,Accenture
ADBE,"Adobe, Inc.",Adobe Inc.,adobe,Adobe,Adobe
ADI,"Analog Devices, Inc.","Analog Devices, Inc.",analog,Analog Devices,Analog
ADM,Archer-Daniels-Midland Co.,Archer-Daniels-Midland Company,adm,Archer-Daniels-Midland,Archer-Daniels-Midland
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",adp,Automatic Data Processing,Automatic
ADS,Alliance Data Systems Corp.,Alliance Data Systems Corporation,alliancedata,Alliance Data Systems,Alliance
ADSK,"Autodesk, Inc.","Autodesk, Inc.",autodesk,Autodesk,Autodesk
AEE,Ameren Corp.,Ameren Corporation,ameren,Ameren,Ameren
AEP,"American Electric Power Co., Inc.","American Electric Power Company, Inc.",aep,American Electric Power,American Electric
AES,The AES Corp.,AES Corporation,aes,AES,AES
AFL,"Aflac, Inc.",Aflac Incorporated,aflac,Aflac,Aflac
AGN,Allergan Plc,Allergan plc,allergan,Allergan,Allergan
AIG,"American International Group, Inc.","American International Group, Inc.",aig,American International Group,American International
AIV,Apartment Investment & Management Co.,Apartment Investment and Management Company Class A,aimco,Apartment Investment & Management,Apartment
AIZ,"Assurant, Inc.","Assurant, Inc.",assurant,Assurant,Assurant
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,ajg,Arthur J. Gallagher,Arthur
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",akamai,Akamai Technologies,Akamai
ALB,Albemarle Corp.,Albemarle Corporation,albemarle,Albemarle,Albemarle
ALGN,"Align Technology, Inc.","Align Technology, Inc.",aligntech,Align Technology,Align
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",alaskaair,Alaska Air Group,Alaska
ALL,The Allstate Corp.,Allstate Corporation,allstate,Allstate,Allstate
ALLE,Allegion Plc,Allegion PLC,allegion,Allegion,Allegion
ALXN,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc.",alexion,Alexion Pharmaceuticals,Alexion
AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",appliedmaterials,Applied Materials,Applied
AMCR,Amcor Plc,Amcor PLC,amcor,Amcor,Amcor
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",amd,Advanced Micro Devices,Advanced
AME,"AMETEK, Inc.","AMETEK, Inc.",ametek,AMETEK,AMETEK
AMG,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",amg,Affiliated Managers Group,Affiliated
AMGN,"Amgen, Inc.",Amgen Inc.,amgen,Amgen,Amgen
AMP,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",ameriprise,Ameriprise Financial,Ameriprise
AMT,American Tower Corp.,American Tower Corporation,americantower,American Tower,American Tower
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",amazon,Amazon.com,Amazon.com
ANET,"Arista Networks, Inc.","Arista Networks, Inc.",arista,Arista Networks,Arista
ANSS,"ANSYS, Inc.","ANSYS, Inc.",ansys,ANSYS,ANSYS
ANTM,"Anthem, Inc.","Anthem, Inc.",antheminc,Anthem,Anthem
AON,Aon Plc,Aon plc,co,Aon,Aon
AOS,A. O. Smith Corp.,A. O. Smith Corporation,aosmith,A. O. Smith,A.
APA,Apache Corp.,Apache Corporation,apachecorp,Apache,Apache
APD,"Air Products & Chemicals, Inc.","Air Products and Chemicals, Inc.",airproducts,Air Products & Chemicals,Air
APH,Amphenol Corp.,Amphenol Corporation Class A,amphenol,Amphenol,Amphenol
APTV,Aptiv Plc,Aptiv PLC,aptiv,Aptiv,Aptiv
ARE,"Alexandria Real Estate Equities, Inc.","Alexandria Real Estate Equities, Inc.",are,Alexandria Real Estate Equities,Alexandria
ARNC,"Arconic, Inc.","Arconic, Inc.",arconic,Arconic,Arconic
ATO,Atmos Energy Corp.,Atmos Energy Corporation,atmosenergy,Atmos Energy,Atmos
ATVI,"Activision Blizzard, Inc.","Activision Blizzard, Inc.",activisionblizzard,Activision Blizzard,Activision
